"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2011",766.551,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2010",2418.527,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2010",620.725,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2009",1968.266,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2009",530.515,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2008",1636.195,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2008",520.391,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","FX:3502","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2007",1967.994,,,"T30:61",
"ARG","FX:3502","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2007",635.729,,,"T30:61",
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2006",1026.552,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2006",336.099,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2005",816.306,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2005",281.13,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2004",685.086,"B",,"T30:61_I11:264","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2004",234.353,"B",,"T30:61_I11:264","R1:3513_S4:33"
"ARG","BX:16201","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","1997",622.265,,,"T30:61","R1:3513"
"ARG","BX:16201","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","1997",622.576,,,"T30:61","R1:3513"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2023",159067.084,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2023",983.062,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2023",405.291,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2022",142818.811,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2022",864.538,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2022",327.817,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2021",130559.108,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2021",794.994,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2021",259.164,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2020",125733.844,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2020",793.885,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2020",257.12,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2019",119804.028,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2019",736.883,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2019",249.36,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2017",103505.383,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2017",621.732,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2017",214.423,,,"T30:111","R1:3513_T3:240"
